State,District,Amount,Count
2020,maharashtra,319995196718.0683,238944081
2020,dadra & nagar haveli & daman & diu,1342763369.292519,878579
2020,meghalaya,1120134840.9078057,502283
2020,andaman & nicobar islands,161476312.2972747,41298
2020,haryana,81976214558.24355,44036087
2020,rajasthan,190308238561.00217,102258812
2020,ladakh,377639677.4457431,116419
2020,punjab,31374185265.899654,15217784
2020,assam,20668428347.72898,8808860
2020,jharkhand,33611232153.269115,18282713
2020,odisha,91956798199.33679,53682307
2020,bihar,109256853527.24524,45081815
2020,kerala,26451084830.93425,15733522
2020,karnataka,353402054999.4004,271033890
2020,chandigarh,5126453070.016205,2262511
2020,telangana,371343780368.2118,199409525
2020,himachal pradesh,7419466751.122733,4144480
2020,west bengal,96653305190.9406,66250381
2020,gujarat,86995076621.90231,47326417
2020,sikkim,1053476271.9444009,528118
2020,nagaland,894780028.7343724,378051
2020,mizoram,392077579.3496374,153609
2020,chhattisgarh,32860597671.356686,19523991
2020,jammu & kashmir,2937643176.534005,921630
2020,goa,3410371231.9237647,1881237
2020,arunachal pradesh,1381758681.3301477,567175
2020,delhi,133616543642.58943,81747604
2020,uttarakhand,16158080258.987526,9131784
2020,puducherry,1960030980.4875922,1033383
2020,tamil nadu,95826508896.84135,51870110
2020,uttar pradesh,178744016130.31216,100851965
2020,madhya pradesh,147922015289.08447,76340573
2020,andhra pradesh,302583689746.5449,144917855
2020,tripura,1769175883.585958,1052520
2020,lakshadweep,16942922.08594439,7220
2020,manipur,3198936212.8055243,1083068
2020,maharashtra,296359517159.41614,184790761
2020,dadra & nagar haveli & daman & diu,1302376453.8880572,973152
2020,meghalaya,1153735154.3383913,635395
2020,andaman & nicobar islands,169645001.41414702,62962
2020,haryana,80711264923.94525,41781050
2020,rajasthan,193763273003.28284,101954656
2020,ladakh,523792998.6520228,155010
2020,punjab,30284654252.21334,14081294
2020,assam,19766300125.91926,10505199
2020,jharkhand,37486201975.923416,20141511
2020,odisha,91733036612.10583,50028576
2020,bihar,128806523628.85287,53386742
2020,kerala,25894078478.599953,16287967
2020,karnataka,321104877020.14185,213221712
2020,chandigarh,3847015729.690074,1528010
2020,telangana,321531839352.4224,152055143
2020,himachal pradesh,8036904762.544065,4695730
2020,west bengal,100099431877.35757,57676797
2020,gujarat,80387846359.49454,47420185
2020,sikkim,1054618788.2612653,517731
2020,nagaland,1137674504.3478017,517566
2020,mizoram,457193433.4423174,198462
2020,chhattisgarh,32268382206.900894,18820925
2020,jammu & kashmir,8265648939.258666,2635006
2020,goa,2183616430.016773,1482092
2020,arunachal pradesh,1826716832.9849606,808774
2020,delhi,107873438203.33162,66042018
2020,uttarakhand,16094187702.100985,9047770
2020,puducherry,4930526217.671207,2716003
2020,tamil nadu,206473197500.99268,111179701
2020,uttar pradesh,357428826778.2578,178167517
2020,madhya pradesh,284275139772.3589,153652541
2020,andhra pradesh,654841546033.3186,286118552
2020,tripura,3182130996.2213116,1651890
2020,lakshadweep,30111317.917080387,11650
2020,manipur,5602224558.458768,1627852
2020,maharashtra,622155530832.2585,407621004
2020,dadra & nagar haveli & daman & diu,2700511100.828503,1817791
2020,meghalaya,1804242572.1989727,754008
2020,andaman & nicobar islands,627282656.3148524,224531
2020,haryana,159998504366.53964,83171439
2020,rajasthan,386034779836.48376,190283435
2020,ladakh,1111963470.5079594,332134
2020,punjab,53775406479.553894,22997925
2020,assam,40226611319.263756,15423454
2020,jharkhand,72805174830.04245,39431633
2020,odisha,178302663014.6175,92324950
2020,bihar,238905613136.47186,96591673
2020,kerala,56755256647.011795,33288187
2020,karnataka,658036698565.0032,431536984
2020,chandigarh,6146762901.349345,2912716
2020,telangana,696350439226.9453,343643787
2020,himachal pradesh,13989053108.813015,7272328
2020,west bengal,199165491365.6468,100340645
2020,gujarat,148393060112.4366,77828547
2020,sikkim,1919275805.122922,735035
2020,nagaland,2773084870.5627017,847825
2020,mizoram,986522115.6939572,322607
2020,chhattisgarh,62214974283.94806,35529636
2020,jammu & kashmir,15380905803.378227,5754444
2020,goa,6899792747.579928,3801381
2020,arunachal pradesh,3570264021.8456187,1209129
2020,delhi,216265088224.5436,120540417
2020,uttarakhand,31792739329.110085,17613271
2019,puducherry,1460708357.4554102,716826
2019,tamil nadu,78959604643.63503,41410183
2019,uttar pradesh,111268137475.02843,68623959
2019,madhya pradesh,77676321491.22867,53610411
2019,andhra pradesh,139447944254.78943,76288614
2019,tripura,1017377422.817224,711717
2019,lakshadweep,9651761.463768471,3104
2019,manipur,863552002.562933,345008
2019,maharashtra,199617506744.94272,148735581
2019,dadra & nagar haveli & daman & diu,961471473.8483732,638751
2019,meghalaya,612218602.153532,306550
2019,andaman & nicobar islands,114071776.08729392,33770
2019,haryana,52489119199.44011,30343531
2019,rajasthan,112468290031.92343,67303617
2019,ladakh,331129527.19382226,92396
2019,punjab,22905815605.843315,10706812
2019,assam,12950443620.426579,5942571
2019,jharkhand,21465973993.35938,14220647
2019,odisha,57304577359.217094,41422272
2019,bihar,67692783254.273834,32139900
2019,kerala,16429809722.064445,9286096
2019,karnataka,214536720438.18292,170733735
2019,chandigarh,3269682087.6608405,1506543
2019,telangana,201930021130.42365,121495376
2019,himachal pradesh,5572018781.123304,2735180
2019,west bengal,70540532616.82985,66444829
2019,gujarat,59462694964.26753,38228649
2019,sikkim,884716448.4404289,552436
2019,nagaland,650956471.7134112,261878
2019,mizoram,278793899.9513421,98094
2019,chhattisgarh,19803259167.45372,12243111
2019,jammu & kashmir,3744230491.7824554,1116526
2019,goa,2000367191.496843,1092416
2019,arunachal pradesh,912645034.7958709,370234
2019,delhi,103196812046.45712,69537876
2019,uttarakhand,9729032070.017406,5710476
2019,puducherry,906473024.3065231,501092
2019,tamil nadu,56204036816.128555,32275045
2019,uttar pradesh,76524180134.0167,57324504
2019,madhya pradesh,48070279522.04201,37301049
2019,andhra pradesh,83760595917.0792,57264522
2019,tripura,756894941.6158216,580926
2019,lakshadweep,8786130.479338994,2481
2019,manipur,659898060.4240801,265409
2019,maharashtra,111420690920.33997,75079069
2019,dadra & nagar haveli & daman & diu,843369776.0499002,661814
2019,meghalaya,399037162.15343595,208741
2019,andaman & nicobar islands,102299740.67348987,30486
2019,haryana,34051655721.631077,22135775
2019,rajasthan,61141158575.55252,43956040
2019,ladakh,152859920.9491272,46145
2019,punjab,13574490001.853222,7172137
2019,assam,8002099536.451059,4533005
2019,jharkhand,13627236449.278034,9387708
2019,odisha,35427127930.698456,34031942
2019,bihar,41502827514.52612,26356234
2019,kerala,10235031134.849785,6469039
2019,karnataka,117976382145.74966,86587609
2019,chandigarh,2396032050.444029,1274476
2019,telangana,95523262035.66321,65290702
2019,himachal pradesh,3381481442.991081,2168718
2019,west bengal,50164672623.87851,47626388
2019,gujarat,35856080308.47724,24991451
2019,sikkim,457993634.3840939,240287
2019,nagaland,441941712.41233104,168579
2019,mizoram,218160895.39740258,70306
2019,chhattisgarh,12544556385.328796,7887669
2019,jammu & kashmir,5951835476.521047,3584987
2019,goa,1475323397.276577,738812
2019,arunachal pradesh,609950106.3139492,226506
2019,delhi,58469131789.49733,47007327
2019,uttarakhand,7183529175.274033,5546001
2019,puducherry,1211446910.127807,580077
2019,tamil nadu,64207676025.75553,32171737
2019,uttar pradesh,98917519370.67831,58883500
2019,madhya pradesh,68334566380.56182,40846013
2019,andhra pradesh,113634518758.22931,56409015
2019,tripura,841821482.8473747,532558
2019,lakshadweep,9242524.13698889,2926
2019,manipur,722789942.1495004,257425
2019,maharashtra,153294470088.05945,101149853
2019,dadra & nagar haveli & daman & diu,824441276.56507,489656
2019,meghalaya,492931289.1072781,232286
2019,andaman & nicobar islands,120254709.6756632,33689
2019,haryana,42501539813.21669,22741816
2019,rajasthan,89107313172.66756,50009286
2019,ladakh,259255506.9974248,68772
2019,punjab,18614793394.772213,8509830
2019,assam,10954969189.126175,5454929
2019,jharkhand,18622701305.54623,10128211
2019,odisha,44754854871.67608,29512024
2019,bihar,63132438283.54397,29960479
2019,kerala,13031371561.185568,7283826
2019,karnataka,163702024226.0841,115401604
2019,chandigarh,2693116098.9444556,1252470
2019,telangana,155676443182.43457,89610379
2019,himachal pradesh,4875883973.61058,2502306
2019,west bengal,57105691119.11844,47023535
