Year,Quarter,Category,Name,RegisteredUsers
2021,2,states,madhya pradesh,15940935
2021,2,states,gujarat,15735981
2021,2,districts,bengaluru urban,10604609
2021,2,districts,pune,6915820
2021,2,districts,thane,4290066
2021,2,districts,jaipur,4226231
2021,2,districts,mumbai suburban,4151227
2021,2,districts,hyderabad,3598337
2021,2,districts,ahmadabad,3209841
2021,2,districts,rangareddy,3097973
2021,2,districts,north twenty four parganas,2660664
2021,2,districts,surat,2633443
2021,2,pincodes,201301,577428
2021,2,pincodes,110059,485328
2021,2,pincodes,560068,455417
2021,2,pincodes,421302,424376
2021,2,pincodes,500072,398987
2021,2,pincodes,122001,385555
2021,2,pincodes,110092,383095
2021,2,pincodes,110086,332618
2021,2,pincodes,121004,328000
2021,2,pincodes,560078,325334
2021,4,states,maharashtra,45482506
2021,4,states,uttar pradesh,36617655
2021,4,states,karnataka,29459646
2021,4,states,andhra pradesh,22489029
2021,4,states,rajasthan,21977202
2021,4,states,telangana,20917649
2021,4,states,west bengal,20644527
2021,4,states,tamil nadu,20433142
2021,4,states,madhya pradesh,18456243
2021,4,states,gujarat,18139201
2021,4,districts,bengaluru urban,12038775
2021,4,districts,pune,7880431
2021,4,districts,thane,4906492
2021,4,districts,jaipur,4841883
2021,4,districts,mumbai suburban,4740546
2021,4,districts,hyderabad,4081185
2021,4,districts,ahmadabad,3679243
2021,4,districts,rangareddy,3523496
2021,4,districts,north twenty four parganas,3043008
2021,4,districts,surat,3026960
2021,4,pincodes,201301,659549
2021,4,pincodes,110059,555449
2021,4,pincodes,560068,517115
2021,4,pincodes,421302,488443
2021,4,pincodes,500072,451595
2021,4,pincodes,122001,440178
2021,4,pincodes,110092,436075
2021,4,pincodes,110086,382858
2021,4,pincodes,121004,376910
2021,4,pincodes,560078,368213
2024,3,states,maharashtra,69641161
2024,3,states,uttar pradesh,67922000
2024,3,states,karnataka,44548391
2024,3,states,rajasthan,35583171
2024,3,states,west bengal,33612828
2024,3,states,tamil nadu,32965209
2024,3,states,bihar,31899315
2024,3,states,madhya pradesh,31764084
2024,3,states,telangana,30776242
2024,3,states,andhra pradesh,29145303
2024,3,districts,bengaluru urban,17566351
2024,3,districts,pune,12392676
2024,3,districts,thane,7103828
2024,3,districts,mumbai suburban,6688601
2024,3,districts,rangareddy,5769438
2024,3,districts,hyderabad,5757304
2024,3,districts,ahmedabad,5580316
2024,3,districts,chennai,5387490
2024,3,districts,jaipur,5219354
2024,3,districts,surat,4957655
2024,3,pincodes,201301,899384
2024,3,pincodes,421302,844375
2024,3,pincodes,110059,808649
2024,3,pincodes,500072,733364
2024,3,pincodes,452001,686231
2024,3,pincodes,410501,663831
2024,3,pincodes,121004,646607
2024,3,pincodes,201009,646266
2024,3,pincodes,560068,645173
2024,3,pincodes,110092,639422
2024,1,states,maharashtra,68016876
2024,1,states,uttar pradesh,56028765
2024,1,states,karnataka,43668141
2024,1,states,andhra pradesh,34008709
2024,1,states,rajasthan,33505514
2024,1,states,west bengal,31306843
2024,1,states,telangana,31082447
2024,1,states,tamil nadu,30638750
2024,1,states,madhya pradesh,28238554
2024,1,states,gujarat,27381972
2024,1,districts,bengaluru urban,17506580
2024,1,districts,pune,11546171
2024,1,districts,thane,7314981
2024,1,districts,jaipur,7253881
2024,1,districts,mumbai suburban,7055629
2024,1,districts,hyderabad,5928930
2024,1,districts,ahmadabad,5485010
2024,1,districts,rangareddy,5149421
2024,1,districts,north twenty four parganas,4570438
2024,1,districts,surat,4569769
2024,1,pincodes,201301,984239
2024,1,pincodes,110059,829414
2024,1,pincodes,560068,753700
2024,1,pincodes,421302,743686
2024,1,pincodes,122001,654633
2024,1,pincodes,500072,650991
2024,1,pincodes,110092,640499
2024,1,pincodes,110086,583639
2024,1,pincodes,121004,570844
2024,1,pincodes,201009,548384
2024,2,states,maharashtra,70597223
2024,2,states,uttar pradesh,58199149
